Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2004-08-19,2.4875840518264756,2.5885794726087816,2.3870849032398915,2.4960412979125977,893181924,0.0,0.0
2004-08-20,2.5127081777828684,2.713456190927472,2.50002124311133,2.694301128387451,456686856,0.0,0.0
2004-08-23,2.7549992153599456,2.822909818537768,2.7127099068027007,2.721416473388672,365122512,0.0,0.0
2004-08-24,2.7671880677899754,2.7761434817264847,2.5763903751981405,2.6087284088134766,304946748,0.0,0.0
2004-08-25,2.6109680592123055,2.6865905547937934,2.5841022911227562,2.636838912963867,183772044,0.0,0.0
2004-08-26,2.6107185365015333,2.6853461187559162,2.603504814960354,2.6843509674072266,141897960,0.0,0.0
2004-08-27,2.6890778079817834,2.702013354339134,2.629127460141643,2.6405696868896484,124235640,0.0,0.0
2004-08-30,2.618928389421838,2.6241520453267726,2.5375843048095703,2.5375843048095703,103935960,0.0,0.0
2004-08-31,2.544798089383923,2.579872732023943,2.5413158890250633,2.546539545059204,98357544,0.0,0.0
2004-09-01,2.5547482802804304,2.561465018525896,2.479374395047967,2.493802785873413,182765052,0.0,0.0
2004-09-02,2.4674341008816114,2.5465395105621207,2.461215293546235,2.525146007537842,302373324,0.0,0.0
2004-09-03,2.5112154026666516,2.5308674489073,2.4706675487899195,2.487832546234131,103048848,0.0,0.0
2004-09-07,2.5127083467772393,2.537335676563629,2.4778823153462435,2.5268874168395996,116950932,0.0,0.0
2004-09-08,2.5059914991811607,2.562956861033226,2.50002130231053,2.544797897338867,99712188,0.0,0.0
2004-09-09,2.550519543333819,2.554996657846981,2.5124599225205655,2.545046329498291,81234684,0.0,0.0
2004-09-10,2.5273854720985316,2.65076955219261,2.5199221920748625,2.6201720237731934,173977848,0.0,0.0
2004-09-13,2.652510023780185,2.6967896391467856,2.6482815191163573,2.674152374267578,156882960,0.0,0.0
2004-09-14,2.6729087815520587,2.7860939180729405,2.656490087536619,2.773406982421875,216579204,0.0,0.0
2004-09-15,2.750272766716401,2.8415671812616177,2.7413173523289838,2.7860939502716064,214261524,0.0,0.0
2004-09-16,2.7945513615402695,2.8806221251893938,2.777387310028147,2.835099220275879,185326488,0.0,0.0
2004-09-17,2.8462929779060286,2.9226620197296143,2.824651812160802,2.9226620197296143,189450360,0.0,0.0
2004-09-20,2.909229288652348,3.0249014703310397,2.9047512261601462,2.96917986869812,212575212,0.0,0.0
2004-09-21,2.9803739316640603,2.9955488647998187,2.923159954494457,2.931368827819824,144575280,0.0,0.0
2004-09-22,2.9204230830592834,2.976891461807787,2.905746082448554,2.944800853729248,151624224,0.0,0.0
2004-09-23,2.956244463727073,3.050524095721555,2.9109699344468556,3.0054991245269775,170713116,0.0,0.0
2004-09-24,3.0084842274855994,3.0870919467071003,2.979130460083035,2.9808719158172607,182469348,0.0,0.0
2004-09-27,2.9741545930134494,3.0069905544454762,2.930373153105949,2.9418156147003174,141322536,0.0,0.0
2004-09-28,3.017439625860593,3.169181612174417,2.990324297556182,3.1557490825653076,338581080,0.0,0.0
2004-09-29,3.1517688582658727,3.3587356985300003,3.1400770737334502,3.2607245445251465,610329060,0.0,0.0
2004-09-30,3.231371704763375,3.2910736819003508,3.208983048591822,3.2239084243774414,275160564,0.0,0.0
2004-10-01,3.2537588705075318,3.339331690137907,3.206495227898663,3.2980382442474365,302497200,0.0,0.0
2004-10-04,3.3644571547472437,3.4047554518127487,3.334108238164263,3.3597304821014404,260455284,0.0,0.0
